,date,country,traveler_type,review,rating,scrape_date,sentiment_score,categories
25,2023-12-01 00:00:00,France,Couple,"J’ai aimer son emplacement, le lit était très confortable et le personnel très agréable Les finitions de la salle de bain était bâcler,la pomme de douche pas fou, le papier peint des murs gondolait à certains endroits (entré de la chambre 406), le sèche dépasser et faible",80.0,2024-03-15 22:46:38.925604,0.65,"{'Location': 0.9, 'Bed Comfort': 0.9, 'Staff': 0.9, 'Bathroom': 0.4, 'Shower': 0.3, 'Wallpaper': 0.2, 'Hair Dryer': 0.2}"
26,2023-12-01 00:00:00,France,Voyageur individuel,L'emplacement et l'accueil L'étroitesse de la chambre,70.0,2024-03-15 22:46:38.925604,0.45,"{'Location': 1, 'Hospitality': 1, 'Room Size': 0}"
27,2023-12-01 00:00:00,France,Famille,Très bien merci,90.0,2024-03-15 22:46:38.925604,0.9,{}
28,2023-12-01 00:00:00,Espagne,Voyageur individuel,Tout est très bien rapport qualité/prix Le chauffage de la salle de bain ne fonctionnait pas,80.0,2024-03-15 22:46:38.925604,0.65,"{'overall experience': 0.8, 'value for money': 0.9, 'bathroom heating': 0.2}"
29,2023-12-01 00:00:00,Tunisie,Famille,"Hospitalité. Nous avons récupéré notre chambre avant l'heure.
Nous tenons à remercier la jeune dame à l'accueil pour sa gentillesse.
Chambre et salle de bain énormes. Proche de la gare juste 3 min de distance.proche du lac 10 min à pied. Rien",80.0,2024-03-15 22:46:38.925604,0.85,"{'Hospitality': 0.9, 'Room': 0.8, 'Bathroom': 0.8, 'Location': 0.9, 'Staff': 0.95}"
30,2023-12-01 00:00:00,Suisse,Voyageur individuel,Emplacement - calme,80.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 0.85, 'Quietness': 0.85}"
31,2023-11-01 00:00:00,Côte-d'Ivoire,Famille,L'emplacement Chambre excessivement cher et peu spacieuse,80.0,2024-03-15 22:46:38.925604,0.25,"{'location': 1.0, 'room': 0.1, 'price': 0.0}"
32,2023-10-01 00:00:00,Maroc,Voyageur individuel,Pas de petit déjeuner,80.0,2024-03-15 22:46:38.925604,0.15,{'breakfast': 0.15}
33,2023-11-01 00:00:00,Espagne,Voyageur individuel,"Bonne literie, propre, calme très bien",80.0,2024-03-15 22:46:38.925604,0.85,"{'bedding': 0.9, 'cleanliness': 0.8, 'quietness': 0.9}"
34,2023-10-01 00:00:00,Burkina Faso,Voyageur individuel,"Le petit déjeuner n'est pas consistant Ambiance, la proximité et l'accessibilité.",90.0,2024-03-15 22:46:38.925604,0.45,"{'breakfast': 0.2, 'ambiance': 0.7, 'proximity': 0.7, 'accessibility': 0.7}"
35,2023-11-01 00:00:00,Maroc,Voyageur individuel,"Malgré des équipements vieillots, le rapport qualité/prix reste très interessant, surtout qu'il est parfaitement situé, juste en face de la gare.",70.0,2024-03-15 22:46:38.925604,0.65,"{'equipment': 0.3, 'value for money': 0.8, 'location': 1.0}"
36,2023-10-01 00:00:00,Éthiopie,Voyageur individuel,L’emplacement,80.0,2024-03-15 22:46:38.925604,0.0,{}
38,2023-10-01 00:00:00,Espagne,Voyageur individuel,"Très bien situé, propre, calme, bonne literie",80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'cleanliness': 0.9, 'quietness': 0.8, 'bedding': 0.8}"
39,2023-11-01 00:00:00,Belgique,Voyageur individuel,"La literie était d'excellente qualité. la chambre était bien insonorisée.
Le personnel à l'accueil est de bon conseil et aimable. Au petit déj 1 tasse de café, c'est fort limité. Il manquait aussi du pain. C'est le seul point un peu plus faible.",80.0,2024-03-15 22:46:38.925604,0.75,"{'bedding': 1.0, 'room': 0.9, 'staff': 0.9, 'breakfast': 0.4}"
40,2023-10-01 00:00:00,Espagne,Voyageur individuel,Tout est très bien qualité/prix,80.0,2024-03-15 22:46:38.925604,0.9,"{'quality': 0.9, 'price': 0.9}"
41,2023-10-01 00:00:00,Maroc,Famille,Hotel propre et bien situé Tous,90.0,2024-03-15 22:46:38.925604,0.85,"{'Cleanliness': 0.9, 'Location': 0.8}"
42,2023-08-01 00:00:00,Suisse,Voyageur individuel,"L'hôtel se trouve pile en face de la gare
Il y a des commerces une ruelle derrière
L'hospitalité du personnel
La vue sur la gare est assez belle La salle de bain est assez petite",70.0,2024-03-15 22:46:38.925604,0.75,"{'location': 0.85, 'proximity to shops': 0.8, 'staff hospitality': 0.9, 'view': 0.8, 'bathroom size': 0.5}"
43,2023-10-01 00:00:00,France,Voyageur individuel,"L'hôtel est très bien situé, pres de toutes commodités, du centre côté gare. Chambre un peu petite.",80.0,2024-03-15 22:46:38.925604,0.75,"{'location': 0.9, 'room size': 0.5}"
44,2023-10-01 00:00:00,France,Voyageur individuel,Proximité. Facilité d’accès.,80.0,2024-03-15 22:46:38.925604,0.85,"{'accessibility': 0.85, 'location': 0.85}"
45,2023-10-01 00:00:00,France,Famille,C'est parfait merci !,90.0,2024-03-15 22:46:38.925604,1.0,{'Service': 1.0}
46,2023-10-01 00:00:00,Luxembourg,Voyageur individuel,L'emplacement et le confort !,90.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'comfort': 0.8}"
47,2023-10-01 00:00:00,France,Voyageur individuel,Superbe literie et le plus le balcon,90.0,2024-03-15 22:46:38.925604,0.85,"{'bedding': 0.9, 'balcony': 0.8}"
48,2023-10-01 00:00:00,France,Voyageur individuel,Le calme; l'emplacement La douche est un peu exigüe,70.0,2024-03-15 22:46:38.925604,0.65,"{'calm': 0.8, 'location': 0.9, 'shower': 0.4}"
49,2023-09-01 00:00:00,France,Couple,Nous etions malheureusement en transit entre deux trains. Nous n'avons pas pu apprécier la belle ville de Genève. Le bruit sur la place Cornavin.,90.0,2024-03-15 22:46:38.925604,0.35,"{'transit': 0.3, 'city of Geneva': 0.5, 'noise': 0.2}"
50,2023-07-01 00:00:00,Belgique,Famille,"L'emplacement proche de tout (mais bruyant car proche de la gare)
La propreté et l'amabilité du personnel d'entretien. Ils ont donné ma chambre à quelqu'un d'autres donc j'ai dû attendre 1h. Après 6h de voyage, j'espérais avoir ma chambre.
La fenêtre au denier étage que je trouve dangereux pour les enfants (aucune sécurité)",80.0,2024-03-15 22:46:38.925604,0.45,"{'Location': 0.35, 'Cleanliness': 0.8, 'Staff Friendliness': 0.8, 'Room Assignment': 0.1, 'Safety': 0.2}"
51,2023-09-01 00:00:00,France,Voyageur individuel,chambre bien petite pour un 3 étoiles; salon accueil à améliorer...au niveau confort ou meme solidité d'un fauteuil: accoudoir à réparer!,80.0,2024-03-15 22:46:38.925604,0.35,"{'room size': 0.3, 'hotel star rating': 0.5, 'lobby': 0.4, 'comfort': 0.3, 'furniture quality': 0.2}"
52,2023-09-01 00:00:00,France,Voyageur individuel,"L'emplacement est génial, tout près de la gare et près du centre ville. Le personnel est vraiment gentil. Ils m'ont gardé la valise avant et après mon séjour. 
La literie est confortable. Ma chambre était connectée avec une autre par une porte condamnée pendant mon séjour mais à travers cette porte j'entendais la télé de la chambre voisine. Vu que la personne dans cette chambre a gardé la télé allumé avec le son très fort toute la nuit, je ne pouvais du tout m'endormir la nuit. 
Faudrait améliorer l'insonorisation entre le chambre de ce type.",80.0,2024-03-15 22:46:38.925604,0.65,"{'Location': 0.9, 'Staff': 0.85, 'Luggage Storage': 0.8, 'Bedding': 0.8, 'Room Connectivity': 0.4, 'Noise Level': 0.2, 'Soundproofing': 0.3}"
53,2023-09-01 00:00:00,Hong Kong,Voyageur individuel,Je suis restée une nuit à l'hôtel Astoria. L'emplacement était très bien et la chambre correcte pour le prix. La chambre donnait sur une cour intérieure vraiment très calme. Surprenant devant la gare. Le personnel très sympathique. Rien à redire. Parfait pour un voyage d'affaires. Rien,70.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'room': 0.8, 'quietness': 0.95, 'staff': 0.9, 'value for money': 0.8, 'suitability for business travel': 0.9}"
54,2023-09-01 00:00:00,France,Couple,L’accueil de l’hôtel La climatisation ne faisait pas le froid demandé.,70.0,2024-03-15 22:46:38.925604,0.35,"{'hotel reception': 0.7, 'air conditioning': 0.0}"
55,2023-08-01 00:00:00,France,Voyageur individuel,Emplacement de l hôtel idéal en plein centre. Aucun bruit. Personnel serviable et à l'écoute. Petit déjeuner un peu cher.,80.0,2024-03-15 22:46:38.925604,0.75,"{'location': 1.0, 'noise level': 1.0, 'staff': 1.0, 'breakfast': 0.5}"
56,2023-09-01 00:00:00,Canada,Couple,"L'hotel offre un billet de transport en public gratuit avec l'hebergement.
Localise en face de la gare",80.0,2024-03-15 22:46:38.925604,0.85,"{'hotel': 0.85, 'public transport': 0.9, 'location': 0.8}"
57,2023-08-01 00:00:00,France,Voyageur individuel,L’emplacement et le confort de l hôtel,80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'comfort': 0.8}"
58,2023-08-01 00:00:00,Suisse,Voyageur individuel,"Le petit déjeuner proche d'un bar m'a interrogé. En effet, je petit-déjeunais et d'autres buvaient des bières accoudés au bar. Le petit-déjeuné était parfait Déjà mentionné ci-dessus",80.0,2024-03-15 22:46:38.925604,0.7,"{'breakfast': 0.85, 'bar': 0.55}"
59,2023-08-01 00:00:00,Suisse,Voyageur individuel,Emplacement en face de la gare Rien,80.0,2024-03-15 22:46:38.925604,0.2,"{'Location': 0.8, 'Train station': 0.8, 'Nothing': 0.0}"
60,2023-08-01 00:00:00,France,Voyageur individuel,"J'ai aimé l'emplacement : proche de la gare, du lac, de commerces d'alimentation, de restaurants. Le petit déjeuner était cher pour ce qui était proposé.",90.0,2024-03-15 22:46:38.925604,0.7,"{'location': 0.9, 'proximity to train station': 0.9, 'proximity to lake': 0.9, 'proximity to food stores': 0.9, 'proximity to restaurants': 0.9, 'breakfast': 0.4}"
61,2023-08-01 00:00:00,Espagne,Voyageur individuel,"Emplacement idéal, personnel agréable, tout est très bien",80.0,2024-03-15 22:46:38.925604,0.9,"{'location': 1.0, 'staff': 0.9, 'overall experience': 0.8}"
62,2023-08-01 00:00:00,France,Famille,"Le personnel, la propreté, le confort L'emplacement à côté de la gare, même si c'est pratique pour le transport public, le quartier est un peu sale et avec une mauvaise fréquentation.",80.0,2024-03-15 22:46:38.925604,0.65,"{'staff': 0.9, 'cleanliness': 0.9, 'comfort': 0.9, 'location': 0.4, 'public transport': 0.8, 'neighborhood': 0.3}"
63,2023-08-01 00:00:00,France,Famille,L'accueil même en étant très avance Pas grand chose,80.0,2024-03-15 22:46:38.925604,0.75,"{'welcome': 0.85, 'timing': 0.65}"
64,2023-07-01 00:00:00,France,Voyageur individuel,lit confortable et silence,80.0,2024-03-15 22:46:38.925604,0.85,"{'comfort': 0.9, 'quietness': 0.8}"
65,2023-07-01 00:00:00,France,Couple,L'emplacement face à la gare est parfait pour les voyageurs en train. Tout est facilement accessible même à pied en partant de l'hôtel. La présence du Pub Britania au sein de l'établissement est un vrai plus. Rien de particulier. L'hôtel est conforme à la description faite sur Booking et le service de qualité. Le prix est peut-être un peu élevé mais à l'échelle des prix concurrents sur Genève pas tant que ça au final.,90.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 1.0, 'Accessibility': 0.9, 'Pub Britania': 1.0, 'Booking Description Accuracy': 1.0, 'Service Quality': 1.0, 'Price': 0.7}"
66,2023-07-01 00:00:00,France,Groupe,La hauteur de la boignoire,80.0,2024-03-15 22:46:38.925604,0.5,{'bathtub': 0.5}
67,2023-07-01 00:00:00,France,Famille,"En plein centre, face à la gare. Parking public juste à côté avec bon de réduction donné par l'hôtel. Rue piétonne et restaurant dans les alentours. Le lac et le jet d'eau à 1 km. Dans l'ensemble c'est un hôtel correct. Si possible demandé des chambres en hauteur pour avoir moins de bruit . Même si l'hôtel est bien isolé.",80.0,2024-03-15 22:46:38.925604,0.75,"{'location': 0.9, 'parking': 0.8, 'surroundings': 0.8, 'hotel overall': 0.7, 'room request': 0.6, 'noise level': 0.5, 'insulation': 0.7}"
68,2023-06-01 00:00:00,Tunisie,Voyageur individuel,"La gentillesse à l'accueil
L'emplacement de l'hôtel (commerces, gare)
La déco claire et sobre La taille de la chambre m
Le prix de la chambre par rapport à sa taille",70.0,2024-03-15 22:46:38.925604,0.85,"{'staff kindness': 0.95, 'hotel location': 0.9, 'decor': 0.8, 'room size': 0.75, 'room price': 0.8}"
69,2023-05-01 00:00:00,Suisse,Voyageur individuel,"Localisation, propreté chambre",80.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 0.9, 'Room cleanliness': 0.8}"
70,2023-07-01 00:00:00,Suisse,Voyageur individuel,"La situation de l'hotel juste en face de la gare.
L'accueil du receptionniste. La chambre situee au 6e etage avec balcon etait parfaite. 
J'ai tres bien dormi. Je n'est pas pris le petit dejeuner.",90.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 1.0, 'Staff': 0.9, 'Room': 0.95, 'Sleep Quality': 0.9, 'Breakfast': 0.0}"
71,2023-07-01 00:00:00,Canada,Couple,La chambre était grande.  Le mini bar.  Le WIFI fonctionnait bien.  Bien situé.  Propre. La moquette qui garde al poussière.  Le bain à remplacer par une douche.  Un rideau de douche qui a du vécu.,70.0,2024-03-15 22:46:38.925604,0.65,"{'room size': 0.8, 'mini bar': 0.7, 'wifi': 0.8, 'location': 0.8, 'cleanliness': 0.8, 'carpet': 0.4, 'bath': 0.3, 'shower curtain': 0.2}"
72,2023-07-01 00:00:00,Suisse,Voyageur individuel,L'emplacement à deux pas de la gare et des transports publics. La chambre côté cour. -,80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'public transport': 0.9, 'room': 0.8}"
73,2023-07-01 00:00:00,Suisse,Voyageur individuel,En particulier la chambre qui donne côté cour. -,80.0,2024-03-15 22:46:38.925604,0.7,"{'room': 0.7, 'view': 0.7}"
74,2023-06-01 00:00:00,Suisse,Couple,"Nous avons apprécié l'accueil (poli, souriant, attentif, serviable).
Emplacement vraiment idéal, car proche de la gare et des transports publics.
La chambre est conforme à ce que nous attendions, propre et bien équipée (climatisation, coffre fort, salle de bain privative). Chambre étonnement bien insonorisée, malgré la proximité de l'avenue.
Le petit déjeuner est varié et copieux. Absolument rien de négatif.",90.0,2024-03-15 22:46:38.925604,0.9,"{'staff': 0.95, 'location': 0.9, 'room': 0.9, 'amenities': 0.9, 'noise level': 0.85, 'breakfast': 0.9}"
75,2023-06-01 00:00:00,Suisse,Voyageur individuel,emplacement en face de la gare / accueil efficace /calme (insonorisation parfaite) propre / carte transport offerte pd le séjour rien,90.0,2024-03-15 22:46:38.925604,0.85,"{'location': 1.0, 'service': 0.9, 'quietness': 0.9, 'cleanliness': 1.0, 'transportation': 1.0}"
76,2023-06-01 00:00:00,Suisse,Voyageur individuel,Le prix pour une micro chambre et la salle de bain défraîchie,80.0,2024-03-15 22:46:38.925604,0.15,"{'price': 0.2, 'room size': 0.1, 'bathroom condition': 0.1}"
77,2023-06-01 00:00:00,Maroc,Famille,L'emplacement le service et le calme totale malgré son emplacement à côté de la gare et surtout la propreté rien à signaler,90.0,2024-03-15 22:46:38.925604,0.85,"{'location': 0.9, 'service': 0.8, 'quietness': 0.9, 'cleanliness': 0.9}"
78,2023-05-01 00:00:00,Maroc,Voyageur individuel,L’emplacement et le personnel besoin de rénovation,90.0,2024-03-15 22:46:38.925604,0.35,"{'location': 0.7, 'staff': 0.8, 'need for renovation': 0.0}"
79,2023-06-01 00:00:00,Suisse,Voyageur individuel,La chambre était très calme.,80.0,2024-03-15 22:46:38.925604,0.85,{'room': 0.85}
80,2023-05-01 00:00:00,Suisse,Voyageur individuel,Emplacement RAS,80.0,2024-03-15 22:46:38.925604,0.7,{'Location': 0.7}
81,2023-06-01 00:00:00,Suisse,Voyageur individuel,Emplacement et rapport qualité prix Pas de problème,80.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 0.9, 'Value for money': 0.8}"
82,2023-06-01 00:00:00,France,Voyageur individuel,L'accueil  du personnel. Rien,90.0,2024-03-15 22:46:38.925604,0.2,{'staff': 0.2}
83,2023-06-01 00:00:00,France,Voyageur individuel,"Le petit petit-déjeuner est archi nul,dans les années 80 et 90 c etait beaucoup mieux Pour moi, qui mange très peu le matin, je me demande comment font les clients d Astoria  qui ont un bon Appétit.",80.0,2024-03-15 22:46:38.925604,0.25,"{'breakfast': 0.1, 'hotel service': 0.4}"
84,2023-05-01 00:00:00,Suisse,Voyageur individuel,Placement Idéal,80.0,2024-03-15 22:46:38.925604,0.85,{'placement': 0.85}
85,2023-05-01 00:00:00,Suisse,Voyageur individuel,Placement idéal,70.0,2024-03-15 22:46:38.925604,0.85,{'location': 0.85}
86,2023-05-01 00:00:00,France,Voyageur individuel,Bon accueil et flexibilité. En face de la gare. Chambre un peu vieillotte sans charme particulier.,70.0,2024-03-15 22:46:38.925604,0.55,"{'staff': 0.8, 'location': 0.9, 'room': 0.3}"
87,2023-04-01 00:00:00,Côte-d'Ivoire,Voyageur individuel,"situation géographique , le calme rien",80.0,2024-03-15 22:46:38.925604,0.85,"{'location': 1.0, 'quietness': 1.0}"
88,2023-05-01 00:00:00,Émirats arabes unis,Groupe,"hotel au centre et en face la gare chambre très  petite  
pas assez de confort  dans la literie ( oreillet )",80.0,2024-03-15 22:46:38.925604,0.35,"{'location': 0.8, 'room size': 0.2, 'bed comfort': 0.1}"
89,2023-05-01 00:00:00,France,Couple,Emplacement central et facile d'accès,90.0,2024-03-15 22:46:38.925604,0.85,"{'Location': 0.85, 'Accessibility': 0.85}"
90,2023-05-01 00:00:00,France,Voyageur individuel,l emplacement,70.0,2024-03-15 22:46:38.925604,0.85,{'location': 0.85}
91,2023-03-01 00:00:00,Brésil,Voyageur individuel,C'est un établissement honnête pour quelqu'un qui va passer toute la journée dehors.,90.0,2024-03-15 22:46:38.925604,0.65,"{'establishment': 0.65, 'day out': 0.65}"
92,2023-04-01 00:00:00,France,Voyageur individuel,"personnel très accueillant, emplacement idéal, propreté de la chambre établissement un peu vétuste à mon goût",80.0,2024-03-15 22:46:38.925604,0.75,"{'staff': 1.0, 'location': 1.0, 'cleanliness': 1.0, 'condition of the property': 0.5}"
93,2023-04-01 00:00:00,Espagne,Voyageur individuel,La chambre simple de luxe est parfaite pour une personne.,90.0,2024-03-15 22:46:38.925604,0.85,{'room': 0.85}
94,2023-04-01 00:00:00,Suisse,Voyageur individuel,"Excellente petit déjeuner - emplacement idéal, facile à trouver - chambre confortable",90.0,2024-03-15 22:46:38.925604,0.85,"{'breakfast': 0.9, 'location': 0.8, 'room comfort': 0.8}"
95,2023-04-01 00:00:00,Espagne,Voyageur individuel,J’ai bénéficié d’une chambre supérieure car dans celle qui m’était attribuée le lavabo fuyait,90.0,2024-03-15 22:46:38.925604,0.7,"{'room upgrade': 1.0, 'leaking sink': 0.0}"
96,2023-04-01 00:00:00,Maroc,Voyageur individuel,Emplacement Mobilier et decorations un peu vieux,80.0,2024-03-15 22:46:38.925604,0.35,"{'Location': 1.0, 'Furniture': 0.2, 'Decorations': 0.2}"
97,2023-04-01 00:00:00,Suisse,Couple,"On a eu la chance de bénéficier d'une grande chambre.  Effectivement, elle était de bonne taille et au bout du couloir,  donc, tranquille. Check-in efficacement rapide. Le Wi-Fi fonctionne bien. Emplacement impeccable, près de la gare. Départ tôt,  pas pris le petit-déjeuner. Le bruit venant de l'extérieur, mais, ça, c'est un problème d'une ville mal dirigée, et pas de l'hôtel",90.0,2024-03-15 22:46:38.925604,0.75,"{'room': 0.85, 'check-in': 0.9, 'Wi-Fi': 0.8, 'location': 0.9, 'breakfast': 0.6, 'noise': 0.4}"
98,2023-03-01 00:00:00,France,Famille,"Cadre magnifique avec le grand et superbe sapin de Noël, les dizaines de pointettias rouges ! L endroit est charmant pour prendre un café, chocolat ou un verre.. Les salles de bain pourraient être un peu renovees même si j ai beaucoup apprécié le plan en marbre",90.0,2024-03-15 22:46:38.925604,0.75,"{'ambiance': 0.9, 'drinks': 0.8, 'bathrooms': 0.5, 'renovation': 0.4}"
